generated_at_utc,event_id,kickoff_utc,match,forecast_status,decision,mpp_score_scope,score_a_jouer,score_a_jouer_probability,top3_score_mass,top5_score_mass,resultat_a_jouer,resultat_probability,score_90_reference,resultat_90_reference,no_bet_reason,stake_eur
2026-06-30T18:16:38.747411+00:00,760486,2026-06-28T19:00:00+00:00,South Africa - Canada,after_kickoff_or_unknown,skip_not_pre_match,final_score_after_extra_before_penalties,0-1,12.7%,35.4%,52.5%,Canada gagne,43.6%,1-1,Canada gagne,not_pre_match,0.00
2026-06-30T18:16:38.747411+00:00,760487,2026-06-29T17:00:00+00:00,Brazil - Japan,after_kickoff_or_unknown,skip_not_pre_match,final_score_after_extra_before_penalties,1-0,13.6%,36.0%,53.3%,Brazil gagne,48.2%,1-1,Brazil gagne,not_pre_match,0.00
2026-06-30T18:16:38.747411+00:00,760489,2026-06-29T20:30:00+00:00,Germany - Paraguay,after_kickoff_or_unknown,skip_not_pre_match,final_score_after_extra_before_penalties,1-0,13.7%,36.1%,53.5%,Germany gagne,49.1%,1-1,Germany gagne,not_pre_match,0.00
2026-06-30T18:16:38.747411+00:00,760488,2026-06-30T01:00:00+00:00,Netherlands - Morocco,after_kickoff_or_unknown,skip_not_pre_match,final_score_after_extra_before_penalties,1-0,13.1%,35.7%,52.9%,Netherlands gagne,45.7%,1-1,Netherlands gagne,not_pre_match,0.00
2026-06-30T18:16:38.747411+00:00,760490,2026-06-30T17:00:00+00:00,Ivory Coast - Norway,after_kickoff_or_unknown,skip_not_pre_match,final_score_after_extra_before_penalties,0-1,12.0%,33.0%,50.2%,Norway gagne,52.1%,1-1,Norway gagne,not_pre_match,0.00
2026-06-30T18:16:38.747411+00:00,760492,2026-06-30T21:00:00+00:00,France - Sweden,pre_match,enter_mpp,final_score_after_extra_before_penalties,2-0,11.2%,31.9%,49.3%,France gagne,84.7%,2-0,France gagne,edge_below_threshold,0.00
2026-06-30T18:16:38.747411+00:00,760491,2026-07-01T01:00:00+00:00,Mexico - Ecuador,pre_match,enter_mpp,final_score_after_extra_before_penalties,1-0,20.9%,44.6%,63.3%,Mexico gagne,54.7%,1-0,Mexico gagne,low_confidence,0.00
2026-06-30T18:16:38.747411+00:00,760495,2026-07-01T16:00:00+00:00,England - Congo DR,pre_match,enter_mpp,final_score_after_extra_before_penalties,1-0,17.8%,46.1%,63.2%,England gagne,81.8%,2-0,England gagne,edge_below_threshold,0.00
2026-06-30T18:16:38.747411+00:00,760493,2026-07-01T20:00:00+00:00,Belgium - Senegal,pre_match,enter_mpp,final_score_after_extra_before_penalties,1-0,14.2%,36.6%,54.0%,Belgium gagne,50.7%,1-1,Belgium gagne,edge_below_threshold,0.00
2026-06-30T18:16:38.747411+00:00,760494,2026-07-02T00:00:00+00:00,United States - Bosnia-Herzegovina,pre_match,enter_mpp,final_score_after_extra_before_penalties,1-0,14.4%,40.0%,56.2%,United States gagne,75.5%,2-0,United States gagne,edge_below_threshold,0.00
2026-06-30T18:16:38.747411+00:00,760497,2026-07-02T19:00:00+00:00,Spain - Austria,pre_match,enter_mpp,final_score_after_extra_before_penalties,1-0,15.1%,41.5%,59.0%,Spain gagne,79.6%,2-0,Spain gagne,edge_below_threshold,0.00
2026-06-30T18:16:38.747411+00:00,760496,2026-07-02T23:00:00+00:00,Portugal - Croatia,pre_match,enter_mpp,final_score_after_extra_before_penalties,1-0,15.7%,39.1%,54.4%,Portugal gagne,61.8%,1-1,Portugal gagne,edge_below_threshold,0.00
2026-06-30T18:16:38.747411+00:00,760498,2026-07-03T03:00:00+00:00,Switzerland - Algeria,pre_match,enter_mpp,final_score_after_extra_before_penalties,1-0,16.1%,39.1%,55.2%,Switzerland gagne,60.0%,1-1,Switzerland gagne,,0.10
2026-06-30T18:16:38.747411+00:00,760499,2026-07-03T18:00:00+00:00,Australia - Egypt,pre_match,enter_mpp,final_score_after_extra_before_penalties,0-1,17.6%,41.9%,58.6%,Egypt gagne,46.3%,0-0,Egypt gagne,edge_below_threshold,0.00
2026-06-30T18:16:38.747411+00:00,760500,2026-07-03T22:00:00+00:00,Argentina - Cape Verde,pre_match,enter_mpp,final_score_after_extra_before_penalties,2-0,17.2%,46.1%,64.0%,Argentina gagne,89.2%,2-0,Argentina gagne,edge_below_threshold,0.00
2026-06-30T18:16:38.747411+00:00,760501,2026-07-04T01:30:00+00:00,Colombia - Ghana,pre_match,enter_mpp,final_score_after_extra_before_penalties,1-0,18.5%,44.9%,59.9%,Colombia gagne,72.4%,1-0,Colombia gagne,edge_below_threshold,0.00
