generated_at_utc,event_id,kickoff_utc,match,forecast_status,decision,mpp_score_scope,score_a_jouer,score_a_jouer_probability,top3_score_mass,top5_score_mass,resultat_a_jouer,resultat_probability,score_90_reference,resultat_90_reference,no_bet_reason,stake_eur
2026-06-29T16:22:09.041690+00:00,760486,2026-06-28T19:00:00+00:00,South Africa - Canada,after_kickoff_or_unknown,skip_not_pre_match,final_score_after_extra_before_penalties,0-1,12.7%,35.4%,52.5%,Canada gagne,43.6%,1-1,Canada gagne,not_pre_match,0.00
2026-06-29T16:22:09.041690+00:00,760487,2026-06-29T17:00:00+00:00,Brazil - Japan,pre_match,enter_mpp,final_score_after_extra_before_penalties,1-0,16.9%,41.0%,56.0%,Brazil gagne,63.1%,1-0,Brazil gagne,edge_below_threshold,0.00
2026-06-29T16:22:09.041690+00:00,760489,2026-06-29T20:30:00+00:00,Germany - Paraguay,pre_match,enter_mpp,final_score_after_extra_before_penalties,2-0,13.8%,39.1%,56.6%,Germany gagne,79.1%,2-0,Germany gagne,edge_below_threshold,0.00
2026-06-29T16:22:09.041690+00:00,760488,2026-06-30T01:00:00+00:00,Netherlands - Morocco,pre_match,enter_mpp,final_score_after_extra_before_penalties,1-0,14.8%,37.3%,54.8%,Netherlands gagne,51.2%,1-1,Netherlands gagne,edge_below_threshold,0.00
2026-06-29T16:22:09.041690+00:00,760490,2026-06-30T17:00:00+00:00,Ivory Coast - Norway,pre_match,enter_mpp,final_score_after_extra_before_penalties,0-1,12.1%,32.8%,50.1%,Norway gagne,54.8%,1-1,Norway gagne,edge_below_threshold,0.00
2026-06-29T16:22:09.041690+00:00,760492,2026-06-30T21:00:00+00:00,France - Sweden,pre_match,enter_mpp,final_score_after_extra_before_penalties,2-0,12.3%,33.7%,52.2%,France gagne,84.7%,2-0,France gagne,edge_below_threshold,0.00
2026-06-29T16:22:09.041690+00:00,760491,2026-07-01T01:00:00+00:00,Mexico - Ecuador,pre_match,enter_mpp,final_score_after_extra_before_penalties,1-0,20.5%,43.9%,62.4%,Mexico gagne,55.1%,1-0,Mexico gagne,low_confidence,0.00
2026-06-29T16:22:09.041690+00:00,760495,2026-07-01T16:00:00+00:00,England - Congo DR,pre_match,enter_mpp,final_score_after_extra_before_penalties,1-0,16.4%,43.8%,61.6%,England gagne,81.8%,2-0,England gagne,edge_below_threshold,0.00
2026-06-29T16:22:09.041690+00:00,760493,2026-07-01T20:00:00+00:00,Belgium - Senegal,pre_match,enter_mpp,final_score_after_extra_before_penalties,1-0,14.3%,36.7%,54.1%,Belgium gagne,50.6%,1-1,Belgium gagne,edge_below_threshold,0.00
2026-06-29T16:22:09.041690+00:00,760494,2026-07-02T00:00:00+00:00,United States - Bosnia-Herzegovina,pre_match,enter_mpp,final_score_after_extra_before_penalties,1-0,14.3%,39.9%,56.1%,United States gagne,75.6%,2-0,United States gagne,edge_below_threshold,0.00
2026-06-29T16:22:09.041690+00:00,760497,2026-07-02T19:00:00+00:00,Spain - Austria,pre_match,enter_mpp,final_score_after_extra_before_penalties,1-0,15.3%,41.8%,59.6%,Spain gagne,80.4%,2-0,Spain gagne,edge_below_threshold,0.00
2026-06-29T16:22:09.041690+00:00,760496,2026-07-02T23:00:00+00:00,Portugal - Croatia,pre_match,enter_mpp,final_score_after_extra_before_penalties,1-0,15.3%,38.4%,54.1%,Portugal gagne,60.8%,1-1,Portugal gagne,edge_below_threshold,0.00
2026-06-29T16:22:09.041690+00:00,760498,2026-07-03T03:00:00+00:00,Switzerland - Algeria,pre_match,enter_mpp,final_score_after_extra_before_penalties,1-0,16.0%,39.3%,54.9%,Switzerland gagne,61.3%,1-0,Switzerland gagne,,0.10
2026-06-29T16:22:09.041690+00:00,760499,2026-07-03T18:00:00+00:00,Australia - Egypt,pre_match,enter_mpp,final_score_after_extra_before_penalties,0-1,17.6%,41.9%,58.6%,Egypt gagne,46.3%,0-0,Egypt gagne,edge_below_threshold,0.00
2026-06-29T16:22:09.041690+00:00,760500,2026-07-03T22:00:00+00:00,Argentina - Cape Verde,pre_match,enter_mpp,final_score_after_extra_before_penalties,2-0,17.0%,45.4%,63.4%,Argentina gagne,89.4%,2-0,Argentina gagne,edge_below_threshold,0.00
2026-06-29T16:22:09.041690+00:00,760501,2026-07-04T01:30:00+00:00,Colombia - Ghana,pre_match,enter_mpp,final_score_after_extra_before_penalties,1-0,18.3%,44.8%,59.8%,Colombia gagne,72.5%,1-0,Colombia gagne,edge_below_threshold,0.00
